#Release 14.4 - par P.49d (nt)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sat Mar 28 16:59:43 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MaiModule_map.ncd
#OUTPUT FILE:      MaiModule_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P43,FTDIbus<5>,IOB,IO_L62N_D6_2,BIDIR,LVCMOS33,2,2,SLOW,,NONE,,LOCATED,NO,NONE,
P44,FTDIbus<7>,IOB,IO_L62P_D5_2,BIDIR,LVCMOS33,2,2,SLOW,,NONE,,LOCATED,NO,NONE,
P45,FTDIbus<1>,IOB,IO_L49N_D4_2,BIDIR,LVCMOS33,2,2,SLOW,,NONE,,LOCATED,NO,NONE,
P46,FTDIbus<2>,IOB,IO_L49P_D3_2,BIDIR,LVCMOS33,2,2,SLOW,,NONE,,LOCATED,NO,NONE,
P47,FTDIbus<4>,IOB,IO_L48N_RDWR_B_VREF_2,BIDIR,LVCMOS33,2,2,SLOW,,NONE,,LOCATED,NO,NONE,
P48,FTDIbus<0>,IOB,IO_L48P_D7_2,BIDIR,LVCMOS33,2,2,SLOW,,NONE,,LOCATED,NO,NONE,
P49,,,GND,,,,,,,,,,,,
P50,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
P51,CLK80,IOB,IO_L31P_GCLK31_D14_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
P56,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
P57,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P58,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
P59,evt_1,IOB,IO_L13N_D10_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
P61,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P62,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
P63,,,VCCO_2,,,2,,,,,3.30,,,,
P64,MOSI,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,OUTPUT,LVCMOS33,2,2,SLOW,,,,LOCATED,NO,NONE,
P65,MISO,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P66,evt_2,IOB,IO_L2N_CMPMOSI_2,INPUT,LVCMOS33,2,,,,NONE,,LOCATED,NO,NONE,
P67,,IOBM,IO_L2P_CMPCLK_2,UNUSED,,2,,,,,,,,,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,SPI_CLK,IOB,IO_L1P_CCLK_2,OUTPUT,LVCMOS33,2,4,FAST,,,,LOCATED,NO,NONE,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
P75,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,,IOBS,IO_L47N_1,UNUSED,,1,,,,,,,,,
P79,,IOBM,IO_L47P_1,UNUSED,,1,,,,,,,,,
P80,,IOBS,IO_L46N_1,UNUSED,,1,,,,,,,,,
P81,,IOBM,IO_L46P_1,UNUSED,,1,,,,,,,,,
P82,,IOBS,IO_L45N_1,UNUSED,,1,,,,,,,,,
P83,,IOBM,IO_L45P_1,UNUSED,,1,,,,,,,,,
P84,,IOBS,IO_L43N_GCLK4_1,UNUSED,,1,,,,,,,,,
P85,,IOBM,IO_L43P_GCLK5_1,UNUSED,,1,,,,,,,,,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,cs4,IOB,IO_L42N_GCLK6_TRDY1_1,OUTPUT,LVCMOS33,1,2,SLOW,,,,LOCATED,NO,NONE,
P88,adc4,IOB,IO_L42P_GCLK7_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,clk_adc_3,IOB,IO_L41N_GCLK8_1,OUTPUT,LVCMOS33,1,4,SLOW,,,,LOCATED,NO,NONE,
P93,saw4,IOB,IO_L41P_GCLK9_IRDY1_1,OUTPUT,LVCMOS33,1,6,FAST,,,,LOCATED,NO,NONE,
P94,adc_reset_3,IOB,IO_L40N_GCLK10_1,OUTPUT,LVCMOS33,1,2,SLOW,,,,LOCATED,NO,NONE,
P95,cs3,IOB,IO_L40P_GCLK11_1,OUTPUT,LVCMOS33,1,2,SLOW,,,,LOCATED,NO,NONE,
P96,,,GND,,,,,,,,,,,,
P97,adc3,IOB,IO_L34N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P98,CLK_ADC_2,IOB,IO_L34P_1,OUTPUT,LVCMOS33,1,4,SLOW,,,,LOCATED,NO,NONE,
P99,saw3,IOB,IO_L33N_1,OUTPUT,LVCMOS33,1,6,FAST,,,,LOCATED,NO,NONE,
P100,adc_reset_2,IOB,IO_L33P_1,OUTPUT,LVCMOS33,1,2,SLOW,,,,LOCATED,NO,NONE,
P101,cs2,IOB,IO_L32N_1,OUTPUT,LVCMOS33,1,2,SLOW,,,,LOCATED,NO,NONE,
P102,adc2,IOB,IO_L32P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,CLK_ADC_1,IOB,IO_L1N_VREF_1,OUTPUT,LVCMOS33,1,4,SLOW,,,,LOCATED,NO,NONE,
P105,saw2,IOB,IO_L1P_1,OUTPUT,LVCMOS33,1,6,FAST,,,,LOCATED,NO,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,adc_reset_1,IOB,IO_L66N_SCP0_0,OUTPUT,LVCMOS33,0,2,SLOW,,,,LOCATED,NO,NONE,
P112,cs1,IOB,IO_L66P_SCP1_0,OUTPUT,LVCMOS33,0,2,SLOW,,,,LOCATED,NO,NONE,
P113,,,GND,,,,,,,,,,,,
P114,adc1,IOB,IO_L65N_SCP2_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P115,CLK_ADC_0,IOB,IO_L65P_SCP3_0,OUTPUT,LVCMOS33,0,4,SLOW,,,,LOCATED,NO,NONE,
P116,saw1,IOB,IO_L64N_SCP4_0,OUTPUT,LVCMOS33,0,6,FAST,,,,LOCATED,NO,NONE,
P117,adc_reset_0,IOB,IO_L64P_SCP5_0,OUTPUT,LVCMOS33,0,2,SLOW,,,,LOCATED,NO,NONE,
P118,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
P119,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
P120,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
P121,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
P122,,,VCCO_0,,,0,,,,,3.30,,,,
P123,evt_4,IOB,IO_L37N_GCLK12_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P124,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
P125,,,VCCO_0,,,0,,,,,3.30,,,,
P126,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
P127,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
P132,,IOBM,IO_L35P_GCLK17_0,UNUSED,,0,,,,,,,,,
P133,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
P134,evt_3,IOB,IO_L34P_GCLK19_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,3.30,,,,
P136,,,GND,,,,,,,,,,,,
P137,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
P138,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
P139,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
P140,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
P141,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
P142,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
P143,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
P144,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
